Number,Name,Description,PokemonNumbers
221,Shield Dust,"Blocks the added effects of attacks taken.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Prevents added effects.

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Blocks the added effects of attacks taken.

Black​/​WhiteBlack 2​/​White 2
Blocks the added effects of attacks taken.

X​/​YO.Ruby​/​A.Sapphire
Blocks the additional effects of attacks taken.

Sun​/​MoonUltra Sun​/​Ultra Moon
This Pokémon’s dust blocks the additional effects of attacks taken.

Sword​/​ShieldB.Diamond​/​S.Pearl
This Pokémon’s dust blocks the additional effects of attacks taken.

Scarlet​/​Violet
Protective dust shields the Pokémon from the additional effects of moves.

Other languages




English
Shield Dust


Japanese
りんぷん (Rinpun)


German
Puderabwehr


French
Écran Poudre


Italian
Polvoscudo


Spanish
Polvo Escudo


Korean
인분


Chinese (Simplified)
鳞粉


Chinese (Traditional)
鱗粉","0010,0013,0049,0265,0269,0664,0666,0742,0743,0872,0873"
222,Shields Down,Shields Down causes the Pokémon to changes its appearance and stats depending on its remaining HP.,"0774,0774"
223,Simple,"The Simple ability doubles the number of stages of all stat changes. Stats can be raised to a maximum of +6 stages each, or lowered to a minimum of -6 stages each.",
224,Skill Link,Skill Link causes multi-strike moves to always hit their maximum number of times. The moves affected are listed below; note that moves such as Double Kick that always strike the same number of times are not affected.,"0090,0091,0214,0731,0732,0733"
225,Slow Start,"Temporarily halves Attack and Speed.
Game descriptions

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Temporarily halves Attack and Speed.

Black​/​WhiteBlack 2​/​White 2
Temporarily halves Attack and Speed.

X​/​YO.Ruby​/​A.Sapphire
Temporarily halves the Pokémon’s Attack and Speed stats.

Sun​/​MoonUltra Sun​/​Ultra Moon
For five turns, the Pokémon’s Attack and Speed stats are halved.

Sword​/​ShieldB.Diamond​/​S.Pearl
For five turns, the Pokémon’s Attack and Speed stats are halved.

Scarlet​/​Violet
For five turns, the Pokémon’s Attack and Speed stats are halved.

Other languages




English
Slow Start


Japanese
スロースタート (Slow Start)


German
Saumselig


French
Début Calme


Italian
Lentoinizio


Spanish
Inicio Lento


Korean
슬로스타트


Chinese (Simplified)
慢启动


Chinese (Traditional)
慢啟動",0486
226,Slush Rush,"Boosts the Pokémon's Speed stat in a hailstorm.
Game descriptions

Sun​/​MoonUltra Sun​/​Ultra Moon
Boosts the Pokémon’s Speed stat in a hailstorm.

Sword​/​ShieldB.Diamond​/​S.Pearl
Boosts the Pokémon’s Speed stat in a hailstorm.

Scarlet​/​Violet
Boosts the Pokémon’s Speed stat in snow.

Other languages




English
Slush Rush


Japanese
ゆきかき (Yuki Kaki)


German
Schneescharrer


French
Chasse-Neige


Italian
Spalaneve


Spanish
Quitanieves


Korean
눈치우기


Chinese (Simplified)
拨雪


Chinese (Traditional)
撥雪","0613,0614,0975"
227,Sniper,Sniper increases the power of critical hits by 1.5×. This means a critical hit will deal 2.25× normal damage instead of 1.5×.,"0116,0117,0223,0224,0230,0451,0452,0688,0689"
228,Snow Cloak,Snow Cloak raises ability-bearer's evasion by 20% in a hail storm. It also gives immunity to damage by hail (if they are not already protected by being Ice type).,"0027,0028,0037,0038,0220,0221,0471,0473,0478,0582,0583,0613,0614,0974"
229,Snow Warning,"Snow Warning creates a hailstorm when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition.","0459,0460,0460,0584"
230,Solar Power,"During harsh sunlight, Solar Power raises the ability-bearer's Special Attack by 50%, but it also loses 1⁄8 of its maximum HP after each turn.","0191,0192,0229,0357"
231,Solid Rock,Solid Rock reduces the damage taken from super-effective attacks by 25%.,"0323,0464,0564,0565"
232,Soul-Heart,Soul-Heart raises the bearer's Special Attack one stage when any Pokémon on the field faints.,0801
233,Soundproof,"Soundproof grants the Pokémon immunity to all sound-based moves, preventing all damage and effects.","0100,0100,0101,0101,0122,0293,0294,0295,0439,0782,0783,0784"
234,Speed Boost,"Its Speed stat is gradually boosted.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Gradually boosts SPEED.

Diamond​/​PearlPlatinum
The Pokémon’s Speed stat is gradually boosted.

HeartGold​/​SoulSilver
Its Speed stat is gradually boosted.

Black​/​WhiteBlack 2​/​White 2
Its Speed stat is gradually boosted.

X​/​YO.Ruby​/​A.Sapphire
Its Speed stat is gradually boosted.

Sun​/​MoonUltra Sun​/​Ultra Moon
Its Speed stat is boosted every turn.

Sword​/​ShieldB.Diamond​/​S.Pearl
Its Speed stat is boosted every turn.

Scarlet​/​Violet
The Pokémon’s Speed stat is boosted every turn.

Other languages




English
Speed Boost


Japanese
かそく (Kasoku)


German
Temposchub


French
Turbo


Italian
Acceleratore


Spanish
Impulso


Korean
가속


Chinese (Simplified)
加速


Chinese (Traditional)
加速","0193,0257,0291,0469"
235,Stakeout,Stakeout enables the Pokémon to deal twice the normal damage to any Pokémon that switches in or enters the field mid-battle.,"0734,0735"
236,Stall,"The Pokémon moves after all other Pokémon do.
Game descriptions

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
The Pokémon moves after even slower foes.

Black​/​WhiteBlack 2​/​White 2
The Pokémon moves after all other Pokémon do.

X​/​YO.Ruby​/​A.Sapphire
The Pokémon moves after all other Pokémon do.

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon moves after all other Pokémon do.

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon moves after all other Pokémon do.

Scarlet​/​Violet
The Pokémon is always the last to use its moves.

Other languages




English
Stall


Japanese
あとだし (Atodashi)


German
Zeitspiel


French
Frein


Italian
Rallentatore


Spanish
Rezagado


Korean
시간벌기


Chinese (Simplified)
慢出


Chinese (Traditional)
慢出",0302
237,Stalwart,"Ignores moves and abilities that draw in moves.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.

Scarlet​/​Violet
Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.

Other languages




English
Stalwart


Japanese
すじがねいり


German
Stahlrückgrat


French
Nerfs d’Acier


Italian
Volontà di Ferro


Spanish
Acérrimo


Korean
굳건한신념


Chinese (Simplified)
坚毅


Chinese (Traditional)
堅毅","0884,1018"
238,Stamina,Stamina raises the bearer's Defense by one stage when it is attacked by any move.,"0749,0750,1018"
239,Stance Change,"Stance Change is exclusive to Aegislash. When using a damage-dealing move, Aegislash switches to its Blade Forme. When using the move King's Shield, Aegislash switches to its Shield Forme.","0681,0681"
240,Static,"If a Pokémon with Static is hit by a move making contact, there is a 30% chance the foe will become paralyzed.","0025,0026,0100,0100,0101,0101,0125,0172,0179,0180,0181,0239,0309,0310,0587,0618,0848,0881,0921,0938,0939"
241,Steadfast,"Raises Speed each time the Pokémon flinches.
Game descriptions

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Raises Speed each time the Pokémon flinches.

Black​/​WhiteBlack 2​/​White 2
Raises Speed each time the Pokémon flinches.

X​/​YO.Ruby​/​A.Sapphire
Boosts the Speed stat each time the Pokémon flinches.

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon’s determination boosts the Speed stat each time the Pokémon flinches.

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon’s determination boosts the Speed stat each time the Pokémon flinches.

Scarlet​/​Violet
The Pokémon’s determination boosts its Speed stat every time it flinches.

Other languages




English
Steadfast


Japanese
ふくつのこころ (Fukutsu no Kokoro)


German
Felsenfest


French
Impassible


Italian
Cuordeciso


Spanish
Impasible


Korean
불굴의마음


Chinese (Simplified)
不屈之心


Chinese (Traditional)
不屈之心","0083,0150,0236,0447,0448,0475,0832,0865"
242,Steam Engine,Steam Engine raises the user's Speed by three stages when it is hit by a Fire- or Water-type attack. The attack still deals damage.,"0837,0838,0839"
243,Steelworker,Steelworker increases the power of Steel-type moves used by this Pokémon by 50%.,0781
244,Steely Spirit,"Powers up ally Pokémon's Steel-type moves.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
Powers up ally Pokémon’s Steel-type moves.

Scarlet​/​Violet
Powers up the Steel-type moves of the Pokémon and its allies.

Other languages




English
Steely Spirit


Japanese
はがねのせいしん


German
Stählerner Wille


French
Boost Acier


Italian
Spiritoferreo


Spanish
Alma Acerada


Korean
강철정신


Chinese (Simplified)
钢之意志


Chinese (Traditional)
鋼之意志",0863
245,Stench,A Pokémon with Stench has a 10% chance of causing the opponent to flinch when hit by a damaging move (provided the ability-bearer strikes first as usual).,"0088,0089,0434,0435,0568,0569"
246,Sticky Hold,Sticky Hold prevents held items from being taken or switched.,"0088,0089,0316,0317,0422,0423,0568,0617"
247,Storm Drain,"Storm Drain forces all single-target Water-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. The ability is most useful in double/triple battles.","0422,0423,0456,0457"
248,Strong Jaw,Strong Jaw increases the power of all biting moves by 50%.,
249,Sturdy,"Sturdy allows the Pokémon to survive with 1 HP if attacked at full HP with an attack that would otherwise knock it out. It also prevents One-Hit-KO moves (Fissure, Horn Drill, Guillotine or Sheer Cold).","0074,0074,0075,0075,0076,0076,0081,0082,0095,0185,0204,0205,0208,0213,0227,0232,0299,0304,0305,0306,0410,0411,0438,0462,0476,0524,0525,0526,0539,0557,0558,0564,0565,0790,0932,0933,0934,1017,1018"
250,Suction Cups,"Suction Cups prevents opponents forcing the ability-bearer to switch out or flee via the moves Roar, Whirlwind, Circle Throw, or Dragon Tail, or the item Red Card.","0224,0345,0346,0686,0687"
251,Super Luck,Super Luck raises the ability-bearer's critical-hit ratio by one stage (for most moves this increases from a 1⁄16 chance to 1⁄8).,"0198,0359,0430,0519,0520,0521"
252,Supersweet Syrup,"A sickly sweet scent spreads across the field the first time the Pokémon enters a battle, lowering the evasiveness of opposing Pokémon.","1011,1019"
253,Supreme Overlord,"Attack and Special Attack are boosted for each party Pokémon that has been defeated.
Game descriptions

Scarlet​/​Violet
When the Pokémon enters a battle, its Attack and Sp. Atk stats are slightly boosted for each of the allies in its party that have already been defeated.

Other languages




English
Supreme Overlord


Japanese
そうだいしょう


German
Feldherr


French
Général Suprême


Italian
Generale Supremo


Spanish
General Supremo


Korean
총대장


Chinese (Simplified)
大将


Chinese (Traditional)
大將",0983
254,Surge Surfer,Surge Surfer doubles the bearer's Speed when Electric Terrain is active.,0026
255,Swarm,Swarm increases the power of Bug-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch).,"0015,0123,0165,0166,0167,0168,0212,0214,0267,0313,0402,0414,0540,0542,0543,0544,0545,0588,0589,0632,0736,0824,0825,0826,0900,0919,0920"
256,Sweet Veil,"Sweet Veil prevents this Pokémon and its allies from falling asleep, for example from moves like Hypnosis.","0684,0685,0868,0869"
257,Swift Swim,Swift Swim doubles the ability-bearer's Speed during rain.,"0116,0118,0119,0129,0138,0139,0140,0141,0211,0211,0226,0230,0260,0270,0271,0272,0283,0349,0367,0368,0369,0370,0418,0419,0456,0457,0458,0535,0536,0537,0846,0847,0902,0902,0904"
258,Sword of Ruin,"Lowers Defense of all Pokémon except itself.
Game descriptions

Scarlet​/​Violet
The power of the Pokémon’s ruinous sword lowers the Defense stats of all Pokémon except itself.

Other languages




English
Sword of Ruin


Japanese
わざわいのつるぎ


German
Unheilsschwert


French
Épée du Fléau


Italian
Spada Nefasta


Spanish
Espada Debacle


Korean
재앙의검


Chinese (Simplified)
灾祸之剑


Chinese (Traditional)
災禍之劍",1002
259,Symbiosis,"The Pokémon can pass an item to an ally.
Game descriptions

X​/​YO.Ruby​/​A.Sapphire
The Pokémon can pass an item to an ally.

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon passes its item to an ally that has used up an item.

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon passes its item to an ally that has used up an item.

Scarlet​/​Violet
The Pokémon passes its held item to an ally that has used up an item.

Other languages




English
Symbiosis


Japanese
きょうせい (Kyōsei)


German
Nutznießer


French
Symbiose


Italian
Simbiosi


Spanish
Simbiosis


Korean
공생


Chinese (Simplified)
共生


Chinese (Traditional)
共生","0669,0670,0671,0765"
260,Synchronize,"If the opponent causes a burn, paralysis, or poisoning of a Pokémon with Synchronize, the opponent receives the status condition too. Self-inflicted status conditions (for example through the use of an item) are not passed on.","0063,0064,0065,0151,0177,0178,0196,0197,0280,0281,0282,0517,0518,0605,0606,0876,0876,0954"
261,Tablets of Ruin,"Lowers Attack of all Pokémon except itself.
Game descriptions

Scarlet​/​Violet
The power of the Pokémon’s ruinous wooden tablets lowers the Attack stats of all Pokémon except itself.

Other languages




English
Tablets of Ruin


Japanese
わざわいのおふだ


German
Unheilstafeln


French
Bois du Fléau


Italian
Amuleto Nefasto


Spanish
Tablilla Debacle


Korean
재앙의목간


Chinese (Simplified)
灾祸之简


Chinese (Traditional)
災禍之簡",1001
262,Tangled Feet,"Raises evasion if the Pokémon is confused.
Game descriptions

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Raises evasion if the Pokémon is confused.

Black​/​WhiteBlack 2​/​White 2
Raises evasion if the Pokémon is confused.

X​/​YO.Ruby​/​A.Sapphire
Raises evasion if the Pokémon is confused.

Sun​/​MoonUltra Sun​/​Ultra Moon
Raises evasion if the Pokémon is confused.

Sword​/​ShieldB.Diamond​/​S.Pearl
Raises evasiveness if the Pokémon is confused.

Scarlet​/​Violet
Boosts the Pokémon’s evasiveness if it is confused.

Other languages




English
Tangled Feet


Japanese
ちどりあし (Chidori Ashi)


German
Fußangel


French
Pieds Confus


Italian
Intricopiedi


Spanish
Tumbos


Korean
갈지자걸음


Chinese (Simplified)
蹒跚


Chinese (Traditional)
蹣跚","0016,0017,0018,0327,0441,0866,0973"
263,Tangling Hair,"Contact with the Pokémon lowers the attacker's Speed stat.
Game descriptions

Sun​/​MoonUltra Sun​/​Ultra Moon
Contact with the Pokémon lowers the attacker’s Speed stat.

Sword​/​ShieldB.Diamond​/​S.Pearl
Contact with the Pokémon lowers the attacker’s Speed stat.

Scarlet​/​Violet
Contact with the Pokémon lowers the attacker’s Speed stat.

Other languages




English
Tangling Hair


Japanese
カーリーヘアー (Curly Hair)


German
Lockenkopf


French
Mèche Rebelle


Italian
Boccolidoro


Spanish
Rizos Rebeldes


Korean
컬리헤어


Chinese (Simplified)
卷发


Chinese (Traditional)
捲髮","0050,0051"
264,Technician,Technician increases the power of moves - that are usually base power 60 or below - by 50%.,"0052,0052,0053,0053,0123,0212,0212,0235,0237,0424,0572,0573,0802"
265,Telepathy,Pokémon with the Telepathy ability will not take damage from teammates in double and triple battles.,"0605,0606,0765"
266,Tera Shell,The Pokémon’s shell contains the powers of each type. All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective.,1024
267,Tera Shift,"When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form.",1024
268,Teraform Zero,"When Terapagos changes into its Stellar Form, it uses its hidden powers to eliminate all effects of weather and terrain, reducing them to zero.",1024
269,Teravolt,"Teravolt prevents a target's ability from affecting moves that the Teravolt Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves.","0644,0646"
270,Thermal Exchange,"Raises Attack when hit by a Fire-type move. Cannot be burned.
Game descriptions

Scarlet​/​Violet
Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned.

Other languages




English
Thermal Exchange


Japanese
ねつこうかん


German
Thermowandel


French
Thermodynamique


Italian
Termoscambio


Spanish
Termoconversión


Korean
열교환


Chinese (Simplified)
热交换


Chinese (Traditional)
熱交換","0996,0997,0998"
271,Thick Fat,Thick Fat reduces the damage taken from Fire-type and Ice-type moves by 50%.,"0003,0086,0087,0143,0183,0184,0241,0296,0297,0298,0325,0326,0363,0364,0365,0432,0446,0974,0975"
272,Tinted Lens,"Powers up “not very effective” moves.
Game descriptions

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Powers up “not very effective” moves.

Black​/​WhiteBlack 2​/​White 2
Powers up “not very effective” moves.

X​/​YO.Ruby​/​A.Sapphire
Powers up “not very effective” moves.

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon can use “not very effective” moves to deal regular damage. 

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon can use “not very effective” moves to deal regular damage.

Scarlet​/​Violet
The Pokémon can use “not very effective” moves to deal regular damage.

Other languages




English
Tinted Lens


Japanese
いろめがね (Iromegane)


German
Aufwertung


French
Lentiteintée


Italian
Lentifumé


Spanish
Cromolente


Korean
색안경


Chinese (Simplified)
有色眼镜


Chinese (Traditional)
有色眼鏡","0048,0049,0314,0469"
273,Torrent,Torrent increases the power of Water-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch).,"0007,0008,0009,0158,0159,0160,0258,0259,0260,0393,0394,0395,0501,0502,0503,0503,0656,0657,0658,0728,0729,0730,0816,0817,0818,0912,0913,0914"
274,Tough Claws,Tough Claws increases the power of moves that make contact.,"0006,0052,0142,0376,0688,0689,0745,0863"
275,Toxic Boost,"Powers up physical attacks when poisoned.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
Powers up physical attacks when poisoned.

X​/​YO.Ruby​/​A.Sapphire
Powers up physical attacks when the Pokémon is poisoned.

Sun​/​MoonUltra Sun​/​Ultra Moon
Powers up physical attacks when the Pokémon is poisoned.

Sword​/​ShieldB.Diamond​/​S.Pearl
Powers up physical attacks when the Pokémon is poisoned.

Scarlet​/​Violet
Powers up physical moves when the Pokémon is poisoned.

Other languages




English
Toxic Boost


Japanese
どくぼうそう (Doku Bōsō)


German
Giftwahn


French
Rage Poison


Italian
Velenimpeto


Spanish
Ímpetu Tóxico


Korean
독폭주


Chinese (Simplified)
中毒激升


Chinese (Traditional)
中毒激升",0335
276,Toxic Chain,Toxic Chain may cause bad poisoning when the Pokémon hits an opponent with a move.,"1014,1015,1016"
277,Toxic Debris,"Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.
Game descriptions

Scarlet​/​Violet
Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.

Other languages




English
Toxic Debris


Japanese
どくげしょう


German
Giftbelag


French
Dépôt Toxique


Italian
Mantossina


Spanish
Capa Tóxica


Korean
독치장


Chinese (Simplified)
毒满地


Chinese (Traditional)
毒滿地","0969,0970"
278,Trace,"The Pokémon copies a foe's Ability.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Copies special ability.

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
The Pokémon copies the foe’s ability.

Black​/​WhiteBlack 2​/​White 2
The Pokémon copies a foe’s Ability.

X​/​YO.Ruby​/​A.Sapphire
The Pokémon copies an opposing Pokémon’s Ability.

Sun​/​MoonUltra Sun​/​Ultra Moon
When it enters a battle, the Pokémon copies an opposing Pokémon’s Ability.

Sword​/​ShieldB.Diamond​/​S.Pearl
When it enters a battle, the Pokémon copies an opposing Pokémon’s Ability.

Scarlet​/​Violet
When it enters a battle, the Pokémon copies an opposing Pokémon’s Ability.

Other languages




English
Trace


Japanese
トレース (Torēsu)


German
Fährte


French
Calque


Italian
Traccia


Spanish
Rastro


Korean
트레이스


Chinese (Simplified)
复制


Chinese (Traditional)
複製","0065,0137,0233,0280,0281,0282"
279,Transistor,Transistor increases the power of Electric-type moves used by this Pokémon by 50%.,0894
280,Triage,"Triage increases the priority of HP-restoring moves to +3, when used by the ability-bearer.",0764
281,Truant,"Truant causes the ability-bearer to only attack every alternate turn. On the even turns, it will say the Pokémon is loafing around.","0287,0289"
282,Turboblaze,"Turboblaze prevents a target's ability from affecting moves that the Turboblaze Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves.","0643,0646"
283,Unaware,"Ignores any stat changes in the Pokémon.
Game descriptions

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Ignores any change in ability by the foe.

Black​/​WhiteBlack 2​/​White 2
Ignores any stat changes in the Pokémon.

X​/​YO.Ruby​/​A.Sapphire
Ignores the opposing Pokémon’s stat changes.

Sun​/​MoonUltra Sun​/​Ultra Moon
When attacking, the Pokémon ignores the target Pokémon’s stat changes.

Sword​/​ShieldB.Diamond​/​S.Pearl
When attacking, the Pokémon ignores the target Pokémon’s stat changes.

Scarlet​/​Violet
When attacking, the Pokémon ignores the target’s stat changes.

Other languages




English
Unaware


Japanese
てんねん (Tennen)


German
Unkenntnis


French
Inconscient


Italian
Imprudenza


Spanish
Ignorante


Korean
천진


Chinese (Simplified)
纯朴


Chinese (Traditional)
純樸","0399,0400,0527,0528,0789,0977"
284,Unburden,"Raises Speed if a held item is used.
Game descriptions

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Raises Speed if a held item is used.

Black​/​WhiteBlack 2​/​White 2
Raises Speed if a held item is used.

X​/​YO.Ruby​/​A.Sapphire
Boosts the Speed stat if its held item is used or lost.

Sun​/​MoonUltra Sun​/​Ultra Moon
Boosts the Speed stat if the Pokémon’s held item is used or lost.

Sword​/​ShieldB.Diamond​/​S.Pearl
Boosts the Speed stat if the Pokémon’s held item is used or lost.

Scarlet​/​Violet
Boosts the Speed stat if the Pokémon’s held item is used or lost.

Other languages




English
Unburden


Japanese
かるわざ (Karuwaza)


German
Entlastung


French
Délestage


Italian
Agiltecnica


Spanish
Liviano


Korean
곡예


Chinese (Simplified)
轻装


Chinese (Traditional)
輕裝","0425,0426,0509,0510,0701,0827,0828,0903,0944,0945"
285,Unnerve,"Makes the foe nervous and unable to eat Berries.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
Makes the foe nervous and unable to eat Berries.

X​/​YO.Ruby​/​A.Sapphire
Unnerves opposing Pokémon and makes them unable to eat Berries.

Sun​/​MoonUltra Sun​/​Ultra Moon
Unnerves opposing Pokémon and makes them unable to eat Berries.

Sword​/​ShieldB.Diamond​/​S.Pearl
Unnerves opposing Pokémon and makes them unable to eat Berries.

Scarlet​/​Violet
Unnerves opposing Pokémon and makes them unable to eat Berries.

Other languages




English
Unnerve


Japanese
きんちょうかん (Kinchōkan)


German
Anspannung


French
Tension


Italian
Agitazione


Spanish
Nerviosismo


Korean
긴장감


Chinese (Simplified)
紧张感


Chinese (Traditional)
緊張感","0595,0596,0667,0668,0821,0822,0823,0898"
286,Unseen Fist,"Contact moves can strike through Protect/Detect.
Game descriptions

B.Diamond​/​S.Pearl
If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself.

Scarlet​/​Violet
If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself.

Other languages




English
Unseen Fist


Japanese
ふかしのこぶし


German
Verborgene Faust


French
Poing Invisible


Italian
Pugni Invisibili


Spanish
Puño Invisible


Korean
보이지않는주먹


Chinese (Simplified)
无形拳


Chinese (Traditional)
無形拳","0892,0892"
287,Vessel of Ruin,"Lowers Special Attack of all Pokémon except itself.
Game descriptions

Scarlet​/​Violet
The power of the Pokémon’s ruinous vessel lowers the Sp. Atk stats of all Pokémon except itself.

Other languages




English
Vessel of Ruin


Japanese
わざわいのうつわ


German
Unheilsgefäß


French
Urne du Fléau


Italian
Vaso Nefasto


Spanish
Caldero Debacle


Korean
재앙의그릇


Chinese (Simplified)
灾祸之鼎


Chinese (Traditional)
災禍之鼎",1003
288,Victory Star,"Boosts the accuracy of its allies and itself.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
Boosts the accuracy of its allies and itself.

X​/​YO.Ruby​/​A.Sapphire
Boosts the accuracy of its allies and itself.

Sun​/​MoonUltra Sun​/​Ultra Moon
Boosts the accuracy of its allies and itself.

Sword​/​ShieldB.Diamond​/​S.Pearl
Boosts the accuracy of its allies and itself.

Scarlet​/​Violet
Boosts the accuracy of the Pokémon and its allies.

Other languages




English
Victory Star


Japanese
しょうりのほし (Shōri no Hoshi)


German
Triumphstern


French
Victorieux


Italian
Vittorstella


Spanish
Tinovictoria


Korean
승리의별


Chinese (Simplified)
胜利之星


Chinese (Traditional)
勝利之星",0494
289,Vital Spirit,Vital Spirit prevents the ability-bearer from falling asleep. This means that it also prevents the use of the move Rest.,"0056,0057,0122,0225,0288,0506,0744,0745,0979"
290,Volt Absorb,"A Pokémon with Volt Absorb heals 1⁄4 of its maximum HP when hit by an Electric-type attack, including Thunder Wave.","0135,0170,0171,0642,0807,0880,0881,0922,0923,0940,0941"
291,Wandering Spirit,"Swaps abilities with opponents on contact.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.

Scarlet​/​Violet
The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.

Other languages




English
Wandering Spirit


Japanese
さまようたましい


German
Rastlose Seele


French
Âme Vagabonde


Italian
Anima Errante


Spanish
Alma Errante


Korean
떠도는영혼


Chinese (Simplified)
游魂


Chinese (Traditional)
遊魂","0562,0867"
292,Water Absorb,A Pokémon with Water Absorb heals 1⁄4 of its maximum HP when hit by a Water-type attack.,"0060,0061,0062,0131,0134,0186,0194,0194,0195,0226,0458,0556,0592,0593,0721,0882,0883,0980,1017"
293,Water Bubble,"Water Bubble reduces damage taken from Fire-type moves by 50%, and doubles the power of Water-type moves used by the ability-bearer. It also prevents the Pokémon from being burned.","0751,0752"
294,Water Compaction,Water Compaction raises the bearer's Defense by 2 stages when it is hit by a Water-type move.,"0769,0770"
295,Water Veil,"Prevents the Pokémon from getting a burn.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Prevents burns.

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Prevents the Pokémon from getting a burn.

Black​/​WhiteBlack 2​/​White 2
Prevents the Pokémon from getting a burn.

X​/​YO.Ruby​/​A.Sapphire
Prevents the Pokémon from getting a burn.

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.

Scarlet​/​Violet
The Pokémon’s water veil prevents it from being burned.

Other languages




English
Water Veil


Japanese
みずのベール (Mizu no Bēru)


German
Aquahülle


French
Ignifu-Voile


Italian
Idrovelo


Spanish
Velo Agua


Korean
수의베일


Chinese (Simplified)
水幕


Chinese (Traditional)
水幕","0118,0119,0320,0321,0963"
296,Weak Armor,"When a Pokémon with Weak Armor is hit by a physical move, its Defense drops one stage, but its Speed increases by one stage.","0222,0524,0525,0569,0854,0855,0864"
297,Well-Baked Body,"Immune to Fire-type moves, and Defense is sharply boosted.
Game descriptions

Scarlet​/​Violet
The Pokémon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted.

Other languages




English
Well-Baked Body


Japanese
こんがりボディ


German
Knusperkruste


French
Bien Cuit


Italian
Bentostato


Spanish
Cuerpo Horneado


Korean
노릇노릇바디


Chinese (Simplified)
焦香之躯


Chinese (Traditional)
焦香之軀",0927
